lon,lat
19.74269649,64.17145005
19.74273777,64.17149052
19.74285543,64.17158046
19.7429029,64.17161013
19.74299992,64.17167039
19.74310932,64.17172705
19.74317537,64.17176032
19.74331573,64.17182327
19.74337765,64.17185025
19.74352214,64.17190781
19.74360884,64.17194018
19.74372856,64.17198335
19.74387098,64.17203012
19.74393497,64.1720508
19.74414138,64.17211016
19.7441806,64.17212005
19.7443478,64.17216322
19.74455421,64.17220728
19.74457072,64.17220998
19.74476062,64.17224685
19.74496704,64.17227743
19.74517345,64.17229991
19.74537987,64.1723197
19.74558628,64.17233229
19.74579269,64.17234038
19.74599911,64.17234308
19.74620552,64.17234218
19.74641193,64.17233768
19.74661835,64.17232869
19.74682476,64.172317
19.74703117,64.17230081
19.74704149,64.17229991
19.74723759,64.17228462
19.747444,64.17226484
19.74765041,64.17223876
19.74781967,64.17220998
19.74785683,64.17220458
19.74806324,64.17216771
19.74826965,64.17212005
19.74827172,64.17212005
19.74847607,64.17207328
19.74863294,64.17203012
19.74868248,64.17201753
19.74888889,64.17195997
19.74895701,64.17194018
19.74909531,64.17190241
19.74926663,64.17185025
19.74930172,64.17183946
19.74950813,64.17177651
19.74955974,64.17176032
19.74971455,64.17171266
19.74984252,64.17167039
19.74992096,64.17164521
19.75011086,64.17158046
19.75012738,64.17157506
19.75033379,64.17150401
19.75037094,64.17149052
19.7505402,64.17142937
19.75061451,64.17140059
19.75074662,64.17134753
19.75083537,64.17131066
19.75095303,64.1712549
19.75102527,64.17122073
19.75115944,64.17114339
19.75118215,64.1711308
19.75131425,64.17104086
19.75136586,64.1709923
19.7514154,64.17095093
19.75148764,64.170861
19.75152892,64.17077107
19.75154131,64.17068114
19.75152479,64.1705912
19.75147938,64.17050127
19.75140095,64.17041134
19.75136586,64.17038166
19.75129568,64.17032141
19.75115944,64.17023687
19.75115119,64.17023148
19.75097367,64.17014154
19.75095303,64.17013255
19.75075487,64.17005161
19.75074662,64.17004891
19.7505402,64.16997697
19.75049479,64.16996168
19.75033379,64.16991222
19.75019343,64.16987175
19.75012738,64.16985286
19.74992096,64.16979531
19.74987142,64.16978182
19.74971455,64.16973685
19.74954116,64.16969188
19.74950813,64.16968199
19.74930172,64.16962713
19.74919645,64.16960195
19.74909531,64.16957587
19.74888889,64.16952911
19.74880014,64.16951202
19.74868248,64.16948774
19.74847607,64.16945266
19.74826965,64.16942748
19.74820154,64.16942209
19.74806324,64.1694086
19.74785683,64.16939781
19.74765041,64.16939511
19.747444,64.1694014
19.74723759,64.16941849
19.74720869,64.16942209
19.74703117,64.16944187
19.74682476,64.16947605
19.74666789,64.16951202
19.74661835,64.16952191
19.74641193,64.16957677
19.74633143,64.16960195
19.74620552,64.16963972
19.74605071,64.16969188
19.74599911,64.16970807
19.74579269,64.16977552
19.74577205,64.16978182
19.74558628,64.16983218
19.74543766,64.16987175
19.74537987,64.16988434
19.74517345,64.16992661
19.744998,64.16996168
19.74496704,64.16996708
19.74476062,64.17000125
19.74455421,64.17003902
19.74448816,64.17005161
19.7443478,64.17007679
19.74414138,64.17011906
19.74404024,64.17014154
19.74393497,64.17016583
19.74372856,64.17021978
19.74368521,64.17023148
19.74352214,64.17028094
19.74340036,64.17032141
19.74331573,64.17035378
19.74317331,64.17041134
19.74310932,64.17044192
19.7429896,64.17050127
19.7429029,64.17055433
19.74284304,64.1705912
19.74272745,64.17068114
19.74269649,64.17071261
19.74263663,64.17077107
19.74257058,64.170861
19.7425293,64.17095093
19.74251072,64.17104086
19.74251072,64.1711308
19.74253342,64.17122073
19.74257677,64.17131066
19.74264489,64.17140059
19.74269649,64.17145005
